id,best_players,min_players,max_playtime,weight
174430,3.0,1,120,3.8837
224517,4.0,2,120,3.9131
161936,4.0,2,60,2.8291
291457,2.0,1,120,3.6073
167791,3.0,1,120,3.248
233078,6.0,3,480,4.2726
342942,2.0,1,150,3.7137
187645,2.0,2,240,3.7342
220308,4.0,1,150,4.379
162886,2.0,1,120,4.0507
115746,2.0,2,180,4.1895
182028,3.0,2,120,4.426
193738,3.0,2,150,3.7037
12333,2.0,2,180,3.5981
316554,4.0,1,120,3.0025
169786,4.0,1,115,3.4301
84876,2.0,2,90,2.9962
167355,5.0,1,180,3.4013
173346,2.0,2,30,2.2218
28720,4.0,2,120,3.8619
124361,4.0,2,100,3.0065
177736,3.0,1,120,3.8467
120677,4.0,2,150,3.97
266192,3.0,1,70,2.4478
205637,2.0,1,120,3.497
246900,4.0,2,200,3.6034
266507,4.0,2,120,2.7143
237182,4.0,2,90,3.7444
183394,4.0,1,90,2.8849
199792,3.0,1,80,2.8067
164928,4.0,2,90,3.0383
312484,3.0,1,120,2.8776
96848,2.0,1,240,4.3361
175914,4.0,2,240,4.2063
3076,4.0,3,150,3.2756
285774,2.0,1,90,2.8883
251247,4.0,1,120,4.0692
192135,3.0,1,120,3.8567
102794,4.0,1,210,3.7868
170216,4.0,2,90,2.8812
31260,4.0,1,150,3.6381
256960,4.0,1,120,3.8301
247763,2.0,1,150,3.603
276025,3.0,1,120,3.8939
221107,4.0,2,60,3.25
185343,3.0,1,120,4.011
205059,4.0,1,180,2.6613
284083,4.0,2,20,2.0115
126163,4.0,2,90,3.6724
184267,3.0,1,150,4.6592
2651,5.0,2,120,3.2626
324856,4.0,2,20,2.0161
216132,4.0,1,120,3.4686
35677,3.0,1,150,3.7324
164153,2.0,1,120,3.3038
55690,4.0,1,180,4.2559
209010,4.0,2,120,2.4178
521,2.0,2,30,1.246
244521,4.0,2,45,1.9479
314040,4.0,2,60,3.0952
125153,4.0,1,150,4.2654
161533,3.0,1,120,4.5702
295947,3.0,1,45,1.8722
266810,2.0,1,120,3.6995
230802,2.0,2,45,1.7636
180263,2.0,1,1000,2.8989
72125,4.0,2,180,3.7015
124742,2.0,2,45,3.3962
191189,2.0,1,60,2.7906
25613,3.0,2,120,4.1747
28143,2.0,2,60,2.9883
201808,3.0,2,60,2.2233
157354,2.0,2,80,2.8514
159675,2.0,1,120,3.8717
121921,2.0,1,120,3.804
229853,4.0,1,120,3.7785
200680,4.0,1,120,3.5022
171623,4.0,2,100,3.1881
182874,2.0,2,120,3.2157
68448,5.0,2,30,2.3236
110327,4.0,2,120,2.4571
62219,4.0,2,240,4.043
284378,3.0,1,180,4.3496
264220,2.0,1,120,3.3013
236457,4.0,1,80,2.7532
93,5.0,2,120,3.0452
122515,4.0,2,120,3.3415
18602,3.0,2,150,3.8009
255984,2.0,1,1200,3.1838
37111,5.0,3,180,3.2488
73439,3.0,1,90,3.4646
172386,4.0,2,150,3.8934
40834,3.0,2,30,2.4203
12493,6.0,3,240,4.2546
170042,3.0,2,80,2.5453
269385,2.0,1,120,2.6095
146021,4.0,1,240,3.3224
203993,4.0,2,120,3.2967
42,4.0,2,90,3.5035
317985,3.0,2,120,3.0852
225694,4.0,3,45,1.7684
144733,4.0,2,120,3.4069
163412,2.0,2,30,1.6168
281259,3.0,1,90,2.3278
205896,5.0,3,120,3.2857
155821,4.0,2,90,2.8735
102680,4.0,2,120,3.6522
253344,3.0,1,120,2.4
233371,3.0,2,90,2.5415
163068,4.0,2,180,4.2358
36218,3.0,2,30,2.3532
218417,2.0,1,60,2.9316
178900,6.0,2,15,1.2755
132531,4.0,2,45,2.7751
198928,4.0,2,45,2.5864
172287,4.0,2,90,2.5968
263918,4.0,1,45,1.8866
196340,3.0,2,90,3.2857
266524,3.0,1,60,2.1588
30549,4.0,2,45,2.4064
175155,3.0,2,180,3.8245
175640,4.0,1,135,4.0526
262712,2.0,2,60,2.6174
341169,3.0,1,150,3.6935
2511,2.0,1,120,2.6764
127023,5.0,2,120,2.9971
279537,3.0,1,60,2.3456
4098,4.0,1,120,3.8929
118048,2.0,2,60,2.3425
43015,5.0,2,90,3.1096
233398,4.0,2,90,2.8117
274364,2.0,2,60,2.2455
161970,4.0,2,120,3.9154
147020,2.0,2,20,1.9355
271324,4.0,1,60,2.3042
146652,3.0,1,60,2.7051
