id,title,year,url,user_score,votes
174430,Gloomhaven,2017,/boardgame/174430/gloomhaven,8.71,51491
224517,Brass: Birmingham,2018,/boardgame/224517/brass-birmingham,8.66,29789
161936,Pandemic Legacy: Season 1,2015,/boardgame/161936/pandemic-legacy-season-1,8.58,47248
291457,Gloomhaven: Jaws of the Lion,2020,/boardgame/291457/gloomhaven-jaws-lion,8.60,21454
167791,Terraforming Mars,2016,/boardgame/167791/terraforming-mars,8.40,80570
233078,Twilight Imperium: Fourth Edition,2017,/boardgame/233078/twilight-imperium-fourth-edition,8.65,17857
342942,Ark Nova,2021,/boardgame/342942/ark-nova,8.65,13691
187645,Star Wars: Rebellion,2016,/boardgame/187645/star-wars-rebellion,8.42,27297
220308,Gaia Project,2017,/boardgame/220308/gaia-project,8.45,21427
162886,Spirit Island,2017,/boardgame/162886/spirit-island,8.37,37050
115746,War of the Ring: Second Edition,2011,/boardgame/115746/war-ring-second-edition,8.52,16862
182028,Through the Ages: A New Story of Civilization,2015,/boardgame/182028/through-ages-new-story-civilization,8.36,27218
193738,Great Western Trail,2016,/boardgame/193738/great-western-trail,8.28,35418
12333,Twilight Struggle,2005,/boardgame/12333/twilight-struggle,8.27,44516
316554,Dune: Imperium,2020,/boardgame/316554/dune-imperium,8.33,22949
169786,Scythe,2016,/boardgame/169786/scythe,8.20,69570
84876,The Castles of Burgundy,2011,/boardgame/84876/castles-burgundy,8.13,53580
167355,Nemesis,2018,/boardgame/167355/nemesis,8.35,21124
173346,7 Wonders Duel,2015,/boardgame/173346/7-wonders-duel,8.10,75828
28720,Brass: Lancashire,2007,/boardgame/28720/brass-lancashire,8.19,21903
124361,Concordia,2013,/boardgame/124361/concordia,8.12,33906
177736,A Feast for Odin,2016,/boardgame/177736/feast-odin,8.20,22646
120677,Terra Mystica,2012,/boardgame/120677/terra-mystica,8.11,43456
266192,Wingspan,2019,/boardgame/266192/wingspan,8.09,65200
205637,Arkham Horror: The Card Game,2016,/boardgame/205637/arkham-horror-card-game,8.15,36112
246900,Eclipse: Second Dawn for the Galaxy,2020,/boardgame/246900/eclipse-second-dawn-galaxy,8.59,7535
266507,Clank!: Legacy – Acquisitions Incorporated,2019,/boardgame/266507/clank-legacy-acquisitions-incorporated,8.64,6269
237182,Root,2018,/boardgame/237182/root,8.09,36585
183394,Viticulture Essential Edition,2015,/boardgame/183394/viticulture-essential-edition,8.04,38744
199792,Everdell,2018,/boardgame/199792/everdell,8.08,35544
164928,Orléans,2014,/boardgame/164928/orleans,8.07,26379
312484,Lost Ruins of Arnak,2020,/boardgame/312484/lost-ruins-arnak,8.10,25166
96848,Mage Knight Board Game,2011,/boardgame/96848/mage-knight-board-game,8.09,30424
175914,Food Chain Magnate,2015,/boardgame/175914/food-chain-magnate,8.11,16785
3076,Puerto Rico,2002,/boardgame/3076/puerto-rico,7.95,66949
285774,Marvel Champions: The Card Game,2019,/boardgame/285774/marvel-champions-card-game,8.19,16970
251247,Barrage,2019,/boardgame/251247/barrage,8.22,11419
192135,Too Many Bones,2017,/boardgame/192135/too-many-bones,8.41,8920
102794,Caverna: The Cave Farmers,2013,/boardgame/102794/caverna-cave-farmers,7.99,30916
170216,Blood Rage,2015,/boardgame/170216/blood-rage,7.97,40232
31260,Agricola,2007,/boardgame/31260/agricola,7.91,67879
256960,Pax Pamir: Second Edition,2019,/boardgame/256960/pax-pamir-second-edition,8.33,8652
247763,Underwater Cities,2018,/boardgame/247763/underwater-cities,8.09,14526
276025,Maracaibo,2019,/boardgame/276025/maracaibo,8.14,12390
221107,Pandemic Legacy: Season 2,2017,/boardgame/221107/pandemic-legacy-season-2,8.08,14582
185343,Anachrony,2017,/boardgame/185343/anachrony,8.11,14618
205059,Mansions of Madness: Second Edition,2016,/boardgame/205059/mansions-madness-second-edition,8.00,30615
284083,The Crew: The Quest for Planet Nine,2019,/boardgame/284083/crew-quest-planet-nine,7.92,30229
126163,Tzolk'in: The Mayan Calendar,2012,/boardgame/126163/tzolk-mayan-calendar,7.89,34884
184267,On Mars,2020,/boardgame/184267/mars,8.24,9102
2651,Power Grid,2004,/boardgame/2651/power-grid,7.84,60414
324856,The Crew: Mission Deep Sea,2021,/boardgame/324856/crew-mission-deep-sea,8.36,6524
216132,Clans of Caledonia,2017,/boardgame/216132/clans-caledonia,7.97,17844
35677,Le Havre,2008,/boardgame/35677/le-havre,7.87,29087
164153,Star Wars: Imperial Assault,2014,/boardgame/164153/star-wars-imperial-assault,7.99,22615
55690,Kingdom Death: Monster,2015,/boardgame/55690/kingdom-death-monster,8.57,8514
209010,Mechs vs. Minions,2016,/boardgame/209010/mechs-vs-minions,8.01,15806
521,Crokinole,1876,/boardgame/521/crokinole,7.98,14468
244521,The Quacks of Quedlinburg,2018,/boardgame/244521/quacks-quedlinburg,7.85,34950
314040,Pandemic Legacy: Season 0,2020,/boardgame/314040/pandemic-legacy-season-0,8.55,4793
125153,The Gallerist,2015,/boardgame/125153/gallerist,8.05,12017
161533,Lisboa,2017,/boardgame/161533/lisboa,8.19,8612
295947,Cascadia,2021,/boardgame/295947/cascadia,8.04,12673
266810,Paladins of the West Kingdom,2019,/boardgame/266810/paladins-west-kingdom,8.02,13056
230802,Azul,2017,/boardgame/230802/azul,7.78,69642
180263,The 7th Continent,2017,/boardgame/180263/7th-continent,7.98,19909
72125,Eclipse,2011,/boardgame/72125/eclipse,7.86,27221
124742,Android: Netrunner,2012,/boardgame/124742/android-netrunner,7.87,28363
191189,Aeon's End,2016,/boardgame/191189/aeons-end,7.98,15684
25613,Through the Ages: A Story of Civilization,2006,/boardgame/25613/through-ages-story-civilization,7.89,18608
28143,Race for the Galaxy,2007,/boardgame/28143/race-galaxy,7.76,50705
201808,Clank!: A Deck-Building Adventure,2016,/boardgame/201808/clank-deck-building-adventure,7.81,34878
157354,Five Tribes,2014,/boardgame/157354/five-tribes,7.78,36678
159675,Fields of Arle,2014,/boardgame/159675/fields-arle,8.06,9588
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,/boardgame/121921/robinson-crusoe-adventures-cursed-island,7.80,38850
229853,Teotihuacan: City of Gods,2018,/boardgame/229853/teotihuacan-city-gods,7.90,16532
200680,Agricola (Revised Edition),2016,/boardgame/200680/agricola-revised-edition,7.98,13248
171623,The Voyages of Marco Polo,2015,/boardgame/171623/voyages-marco-polo,7.82,22690
182874,Grand Austria Hotel,2015,/boardgame/182874/grand-austria-hotel,7.89,15956
68448,7 Wonders,2010,/boardgame/68448/7-wonders,7.72,93784
110327,Lords of Waterdeep,2012,/boardgame/110327/lords-waterdeep,7.75,50559
62219,Dominant Species,2010,/boardgame/62219/dominant-species,7.83,19310
284378,Kanban EV,2020,/boardgame/284378/kanban-ev,8.55,4179
264220,Tainted Grail: The Fall of Avalon,2019,/boardgame/264220/tainted-grail-fall-avalon,8.20,9410
236457,Architects of the West Kingdom,2018,/boardgame/236457/architects-west-kingdom,7.79,22915
93,El Grande,1995,/boardgame/93/el-grande,7.74,25442
122515,Keyflower,2012,/boardgame/122515/keyflower,7.76,20897
18602,Caylus,2005,/boardgame/18602/caylus,7.74,27955
255984,Sleeping Gods,2021,/boardgame/255984/sleeping-gods,8.44,4682
37111,Battlestar Galactica: The Board Game,2008,/boardgame/37111/battlestar-galactica-board-game,7.74,34662
73439,Troyes,2010,/boardgame/73439/troyes,7.74,21126
172386,Mombasa,2015,/boardgame/172386/mombasa,7.87,12145
40834,Dominion: Intrigue,2009,/boardgame/40834/dominion-intrigue,7.70,31928
12493,Twilight Imperium: Third Edition,2005,/boardgame/12493/twilight-imperium-third-edition,7.82,18852
170042,Raiders of the North Sea,2015,/boardgame/170042/raiders-north-sea,7.76,19927
269385,The Lord of the Rings: Journeys in Middle-Earth,2019,/boardgame/269385/lord-rings-journeys-middle-earth,7.98,12745
146021,Eldritch Horror,2013,/boardgame/146021/eldritch-horror,7.77,32805
203993,Lorenzo il Magnifico,2016,/boardgame/203993/lorenzo-il-magnifico,7.88,11734
42,Tigris & Euphrates,1997,/boardgame/42/tigris-euphrates,7.70,26932
317985,Beyond the Sun,2020,/boardgame/317985/beyond-sun,8.01,7929
225694,Decrypto,2018,/boardgame/225694/decrypto,7.79,16393
144733,Russian Railroads,2013,/boardgame/144733/russian-railroads,7.75,16498
163412,Patchwork,2014,/boardgame/163412/patchwork,7.62,55962
281259,The Isle of Cats,2019,/boardgame/281259/isle-cats,7.84,14708
205896,Rising Sun,2018,/boardgame/205896/rising-sun,7.81,18628
155821,Inis,2016,/boardgame/155821/inis,7.82,15866
102680,Trajan,2011,/boardgame/102680/trajan,7.76,16136
253344,Cthulhu: Death May Die,2019,/boardgame/253344/cthulhu-death-may-die,8.14,7055
233371,Clank! In! Space!: A Deck-Building Adventure,2017,/boardgame/233371/clank-space-deck-building-adventure,7.84,11839
163068,Trickerion: Legends of Illusion,2015,/boardgame/163068/trickerion-legends-illusion,7.96,8517
36218,Dominion,2008,/boardgame/36218/dominion,7.61,83986
218417,Aeon's End: War Eternal,2017,/boardgame/218417/aeons-end-war-eternal,8.34,4557
